# Manual word translations:

estaba	war
ponderándole	gewichtet
ponderándole	gew.-%
ponderándole	gewichtsgewicht
ensalzando	salzen
ensalzando	salzung
ensalzando	salutierung
ensalzando	salutieren
sermones	predigten
sermones	predigt
sermones	sermonen
sermones	premonen
aguijaba	ich habe gestochen
aguijaba	i stung
aguijaba	ich stung
antiquísima	Alter
antiquísima	Alt
saludarse	grüße
saludarse	sag hallo
caminantes	wanderer
caminantes	spaziergänge
caminantes	walking
caminantes	walker
conozcan	wissen
conozcan	du weißt schon
conozcan	du weißt es
hayan	han
hayan	haben
hayan	von der
absorbido	absorbiert
absorbido	aufgenommen
absorbido	absorbiert werden
absorbido	absorbiert wird
salutaciones	gesundheit
salutaciones	gesundheitsschutz
salutaciones	salutierung
encontradizo	gefunden
encontradizo	gefunden haben
contestaba	ich antwortete
contestaba	ich habe geantwortet
termina	enden
termina	ende
termina	es endet
disparatada	scheiße
disparatada	du bist gefeuert
disparatada	shot
disparatada	schüsse
apaga	schalten sie ab
apaga	ausschalten
apaga	schalten sie aus
vámonos	gehen wir
vámonos	los
surcado	maskiert
surcado	verdeckt
surcado	zerstreut
pueblecitos	kleine dörfer
pueblecitos	kleine städte
pueblecitos	kleinstädte
presentan	vorhanden
presentan	gegenwart
presentan	haben
presentan	anwesend
extensa	umfangreich
extensa	umfangreiche
extensa	breite
calañés	seide
calañés	calañés
calañés	silbe
calañés	calañis
príncipes	Fürsten
príncipes	Fürst
príncipes	Prinzen
príncipes	Princes
coria	Chor
coria	Coria
guarnece	guarne
guarnece	garnison
guarnece	gartensitz
bétis	Bétis
bétis	Fétis
bétis	Betis
gelves	Gelves
gelves	Zahnräder
gelves	Geflechte
gelves	Maschinen und Apparate
retira	rückzug
retira	zurückziehen
retira	rücknahme
retira	rücktritt
modestamente	bescheiden
modestamente	leicht
modestamente	mäßig
condes	Codes
condes	Inhalt
condes	Condes
condes	Andere
pintorescamente	malerisch
pintorescamente	malerischen
pintorescamente	malerische
pueblecito	kleine stadt
pueblecito	kleinstadt
alfarache	Alfarache
alfarache	Alfasache
alfarache	Alfatscha
alfarache	Alfatache
goza	genießen
goza	viel spaß
goza	genießt
goza	genieße
aventaja	vorteil
aventaja	vorteile
extiende	erweiterungen
extiende	verlängerung
extiende	erweiterung
extiende	verlängerungen
pertenece	gehört
pertenece	es gehört
encarama	encarama
encarama	enkarama
encarama	incarama
encarama	inkarama
besa	kiss
besa	küss
besa	küssen
besa	kuss
comunican	kommunikation
comunican	kommunizieren
comunican	bericht
deslumbra	dazzle
deslumbra	maulwurf
deslumbra	gülle
deslumbra	dazzles
entristece	es ist traurig
entristece	er ist traurig
entristece	das ist traurig
entristece	es traurig
descendido	rückgang
descendido	zurückgegangen
descendido	sank
descendido	verringert
exhalaba	ausgeatmet
exhalaba	ausatmen
aspiraban	sie waren begeistert
aspiraban	sie sind begeistert
aspiraban	die waren begeistert
introducía	einleitung
introducía	einführung
olitas	oliten
olitas	olit
olitas	olite
olitas	oliven
mimbrales	sonstige
mimbrales	thumbnails
mimbrales	mimbralen
mimbrales	vorschau
amarga	bitter
amarga	bitte
amarga	biss
hacíale	Tu es
hacíale	Tun Sie es
hacíale	Mach es
hacíale	Tu's
reflejándose	und
reflejándose	reflektierend
reflejándose	reflexion
reflejándose	spiegelung
anonadamiento	anonymität
anonadamiento	anonymisierung
sume	summe
sume	gesamt
deslizaba	ich habe gerutscht
deslizaba	ich war gerutscht
deslizaba	es wurde gerutscht
tersa	tersa
tersa	ters
tomarse	nehmen
tomarse	genommen
tomarse	entnommen
tumbaga	klumpig
tumbaga	stückig
tumbaga	klumpen
tumbaga	klump
vuelva	komm zurück
lanchita	lanchite
lanchita	lanchie
lanchita	lanchita
lanchita	lanchit
oíase	hören
oíase	hör zu
oíase	hörer
oíase	hören sie
animando	cheering
animando	kirschen
animando	förderung
acercaban	sie kamen
acercaban	die kamen
acercaban	sie wurden kommen
ocupando	besetzen
ocupando	beruf
ocupando	besetzung
ocupando	besatzung
viéndose	wir sehen uns
viéndose	sich gegenseitig sehen
viéndose	sich gegenseitig
viéndose	einander ansehen
libres	kostenlos
libres	frei
acosan	sie schikanieren
acosan	belästigung
acosan	schikanieren
enramada	enramada
enramada	gewinde
enramada	verdickt
melodiosa	melodie
melodiosa	melodiös
melodiosa	melodien
obsequia	geschenke
obsequia	geschenk
obsequia	ein geschenk
unida	vereinigt
unida	einheit
unida	vereint
unida	zusammengeführt
rústica	rustikale
rústica	rustikal
rústica	rostfrei
rústica	rustikales
esparcía	verbreitung
esparcía	spattern
esparcía	streuung
esparcía	spread
respira	atme
respira	atmen
descubríase	finde es heraus
descubríase	finde es raus
descubríase	finde heraus
desciende	absteigen
desciende	absteigend
desciende	runter
labrada	bearbeitet
labrada	wille
labrada	arbeiten
labrada	willed
aseada	gemahlen
aseada	geschliffen
aseada	erwärmt
aseada	warm
allanado	eingetragen
allanado	gesucht
allanado	durchsucht
allanado	eingegeben
sosteníalo	Haltet ihn fest
sosteníalo	Halt
sosteníalo	Halt ihn fest
sosteníalo	Warte
hacerlo	tu es
hacerlo	tun sie es
hacerlo	mach es
partían	paran
partían	parasiten
postes	posts
postes	pole
postes	beiträge
postes	stangen
mantenían	gehalten
mantenían	gehalten werden
mantenían	aufbewahrt werden
mantenían	werden gehalten
emparrado	und
emparrado	passend
emparrado	matching
emparrado	verwandte themen
movibles	bewegung
movibles	beweglich
movibles	movable
movibles	bewegt
sujetas	gegenstand
sujetas	themen
arranca	start
arranca	fang an
arranca	beginn
renueva	erneuerungen
renueva	verlängerungen
renueva	erneuerung
ahuyentarla	nimm sie weg
ahuyentarla	bring sie weg
ahuyentarla	nehmt sie weg
pierdan	sie verlieren
pierdan	die verlieren
recoge	sammeln
recoge	empfang
recoge	erhebung
inclina	neigung
inclina	nelken
inclina	indin
inclina	indine
alegraron	sie waren glücklich
alegraron	sie waren froh
inclinaban	sie beugten sich
inclinaban	sie beugen sich
inclinaban	sie verneigten sich
inclinaban	sie verbeugten sich
aparecían	sie erschienen
aparecían	sie sind aufgetaucht
aparecían	sie tauchten auf
aparecían	sie haben aufgetaucht
afanosas	faggots
afanosas	schwuchtel
afanosas	schwuchteln
afanosas	ungerade
clu	clu
clu	glucose
clu	b
clu	buntbarsch
rodeadas	umgeben von
rodeadas	umgeben
respondían	antwort
respondían	sie antworteten
respondían	antworten
pí	birnen
pí	erbsen
pí	pi
reunidas	tagung
reunidas	sitzung
reunidas	treffen
rodeaban	sie umgeben
rodeaban	sie umzingelt haben
rodeaban	sie umzingelten
florecían	sie blühten
florecían	sie blühen
florecían	sie waren blühend
domiciliados	anschrift
domiciliados	domicils
domiciliados	adresse
domiciliados	adressat
formaban	gebildet
formaban	formblatt
formaban	form
compararse	vergleichen
compararse	vergleich
ofrecían	angeboten
ofrecían	angebot
ofrecían	sie haben angeboten
ofrecían	werden angeboten haben
pintan	farbe
pintan	farben
pintan	lackfarbe
aseadamente	und
aseadamente	gut
aseadamente	brunnen
separada	getrennt
separada	getrennt voneinander getrennt
íntimamente	intim
íntimamente	innig
aplicaba	durchführung
aplicaba	umsetzung
confundía	verwirrt
confundía	ich war verwirrt
distinguía	unterscheidung
distinguía	unverwechselbar
distinguía	unterscheiden
gorjeo	glitzer
gorjeo	glitter
gorjeo	gummy
gorjeo	gorjeo
machacando	pfund
machacando	abholung
machacando	schlagen
machacando	picking
gordura	fett
gordura	fettgehalt
gordura	fettfett
gordura	fettgewebe
zancona	zancona
zancona	zacon
zancona	caracons
suspirando	seufzer
suspirando	sediment
suspirando	seufzern
rano	rano
rano	frog
rano	frosch
rano	frösche
ranoque	Ranoque
ranoque	Rano
ranoque	Ranok
picuaque	Pickle
picuaque	♪
picuaque	Pickel
picuaque	#
respondía	ich habe geantwortet
respondía	ich habe reagiert
respondía	ich antwortete
cantemos	lass uns singen
cantemos	lasst uns singen
reniquicuaque	reniquicaque
reniquicuaque	neugeborene
reniquicuaque	wiedergeboren
reniquicuaque	wiedergeborene
cantaron	sie sangen
cantaron	sie haben gesungen
atolondráis	atoll
atolondráis	beiolondrais
atolondráis	altoll
mayorcita	großhandel
mayorcita	einzelhandel
mayorcita	großhändler
mayorcita	großhandelspreis
diviertan	viel spaß
uds	Du
uds	Sie
jugad	Spielen
jugad	Spiel
decid	entfällt
decid	decied
decid	decis
decid	entscheidung
contad	anzahl
contad	zahl
contad	zählung
contad	gesamt
mariquilla	Nippel
mariquilla	Messer
mariquilla	Nipple
mariquilla	Nail
pongo	ich lege
pongo	ja
pongo	das tue ich
pongo	ich schon
irguió	er war
irguió	er ist gegangen
irguió	er ist weg
indignada	inspiriert
indignada	ingrain
indignada	entzündet
ríe	lachen
ríe	lach
llora	sie weint
llora	er weint
llora	roggen
aciertas	gut
aciertas	recht
jorobada	hume
jorobada	demütigend
jorobada	demütigt
jorobada	bescheiden
pilonga	Pilonga
pilonga	Pilonga-
sarmientos	roggen
sarmientos	schlachtkörper
sarmientos	ausschläge
sarmientos	hautausschläge
albondiguilla	albondiguilla
albondiguilla	albondiguille
albondiguilla	dibondiguilla
di	Sag mal
di	Sag schon
di	Sag..
cucús	kohl
cucús	cusco
cucús	kürbis
cucús	kuckuck
cu	cu
cu	c)
responde	antwort
responde	antworten
descastado	destilliert
descastado	destillation
impuso	verhängt
impuso	auferlegt
impuso	verhängt werden
huevecitos	hühner
huevecitos	bevecits
huevecitos	schafe
huevecitos	eule
abren	geöffnet
abren	offen
abren	öffnen
abren	aufmachen
comilones	conilons
comilones	konilone
comilones	conylons
comilones	conilon
cuneros	cuneros
cuneros	kürbis
cuneros	cuners
persiguen	chase
persiguen	verfolgen
persiguen	verfolgt
gusta	wie
gusta	zum beispiel
comerla	iss es
comerla	essen
comerla	essen sie es
comí	ich aß
aprovechó	vorteile
aprovechó	vorteil
aprovechó	nutzen
aprovechó	nutzte
abriese	geöffnet
abriese	offen
abriese	öffnen
abriese	aufmachen
oyentes	hörer
oyentes	zuhörer
oyentes	zuhören
corrieron	Sie liefen
corrieron	Sie sind gerannt
corrieron	Sie sind weggelaufen
corrieron	Sie rannten
dile	sag es ihm
dile	sag es ihr
dile	sag's ihm
dile	sagen sie es ihm
díle	sag es ihm
díle	sag es ihr
díle	sag's ihm
díle	sagen sie es ihm
retama	retama
librarme	um mich loszuwerden
librarme	lass mich los
librarme	lasst mich los
ora	oder
ora	orgasmen
ora	orden
atendido	behandelt
atendido	empfangen
atendido	besucht
atendido	empfänger
súplica	anwendungsbereich
súplica	anwendung
súplica	klage
súplica	petition
elevóse	rose
elevóse	rosen
elevóse	steigerung
elevóse	zunahme
perdió	verloren
perdió	verloren gegangen
perdió	verlust
comieron	sie aßen
comieron	sie haben gegessen
pae	Pa
pae	Schmerzen
pae	Schmerz
pae	Pae
repitieron	wiederholt
repitieron	sie wiederholten sich
mirarlas	sieh sie dir an
mirarlas	sieh sie an
lunera	luna
lunera	lunge
lunera	lung
lunera	lungen
cascabelera	Pussy
cascabelera	Rattlesnake
cascabelera	Kuckuck
ochavo	8
ochavo	acht
ochavo	achte
pajuela	türkei
pajuela	blatt
pajuela	erdnüsse
quitado	entfernt
quitado	entfernt werden
quitado	entnommen werden
perdonárselo	ich vergebe ihm
perdonárselo	es tut mir leid
perdonárselo	tut mir leid
perdonárselo	vergib ihm
sentimos	wir fühlen uns
sentimos	wir fühlen
sentimos	wir spüren
escalonando	skalierung
escalonando	skalieren
escalonando	scaling
atraviesa	geht durch
atraviesa	es geht durch
atraviesa	durch
caulina	Cauline
caulina	Caulin
caulina	Caucin
vese	Vese
vese	Los
vese	Geh
vese	Gehen Sie
melgarejo	Melgarejo
melgarejo	Melgarerjo
melgarejo	Melgerejo
melgarejo	Melgarijo
construcciones	baugewerbe
construcciones	gebäude
construcciones	bau
moriscas	moor
moriscas	moority
moriscas	moores
moriscas	moorth
flanquean	Flanquen
flanquean	Flanquean
torres	türme
torres	turm
torres	handtücher
formadas	formblatt
formadas	gegründet
formadas	gebildet
formadas	ausbildung
alínean	alinan
alínean	alien
alínean	aliman
uniformes	gleichmäßig
uniformes	uniformen
uniformes	gleichmäßige
uniformes	einheit
firmes	unternehmen
firmes	firma
firmes	stark
firmes	schluss
conquistado	erobert
conquistado	besiegt
conquistado	eroberung
jerezano	jerezan
jerezano	sherry
jerezano	jerezane
ocupaban	Sie besetzten
ocupaban	Sie waren besetzt
ocupaban	Sie beschäftigten sich
vestían	Sie wurden gekleidet
vestían	Sie trugen
vestían	Sie waren gekleidet
vestían	Sie wurden angezogen
montaban	sie waren
montaban	sie haben geritten
montaban	sie/sie haben geritten
montaban	sie ritten
procurábanse	sicher
procurábanse	stellen sie sicher
procurábanse	pass auf
trayéndose	herbeiführen
trayéndose	einbringen
trayéndose	herbeigeführt
trayéndose	herbeizuführen
propuso	vorschlag
propuso	vorgeschlagen
prometió	Er hat es versprochen
prometió	Sie hat es versprochen
prometió	Er versprach es
prometió	Er hat versprochen
consagraba	er geweiht
consagraba	er war
consagraba	es war
consagraba	ich war
secundarlo	unterstützung
secundarlo	unterstützen
secundarlo	unterstützt ihn
convenidos	Alter
convenidos	Agre
convenidos	Gealtert
convenidos	Altern
ginete	gin
ginete	git
ginete	ginn
ginete	ginet
singularmente	insbesondere
ensanchando	erweiterung
ensanchando	verbreiterung
ensanchando	erweiterungen
ensanchando	ausbau
llegase	komm her
llegase	komm
llegase	komm schon
cercaba	es war nahe
cercaba	es war knapp
cercaba	es war nah
cercaba	es war nah dran
reunió	tagung
reunió	sitzung
reunió	treffen
disfrazó	sie verkleidet
disfrazó	er verkleidet
disfrazó	er verkleidete sich
disfrazó	sie verkleidete sich
haciéndoles	sie zu machen
haciéndoles	sie machen
tomándola	nimm es
tomándola	ich nehme sie
tomándola	nehmen sie es
tomándola	ich nehme es
aguardaban	sie warteten
aguardaban	sie haben gewartet
aguardaban	warten
quisieron	sie wollten
quisieron	sie/sie wollten
quisieron	sie wollten..
saltado	gesalzen
saltado	gesprungen
saltado	salz
alzarlo	heben sie ihn auf
alzarlo	erhebt ihn
alzarlo	heben sie ihn hoch
jerezanos	jerezan (pl)
jerezanos	sherry (pl)
jerezanos	jerezane (pl)
destrozador	tränen
destrozador	risse
destrozador	aufreißen
dejaría	ich würde gehen
transpone	transpos
transpone	transposs
transpone	transponiert
tremolarse	aufstieg
tremolarse	klettern
tremolarse	klettersteig
tremolarse	zu klettern
echa	ew
echa	ego
echa	exotisch
mueven	bewegung
mueven	beweg dich
mueven	los
atraviesan	sie gehen durch
atraviesan	die gehen durch
cubre	deckel
cubre	abdeckung
cubre	abdeckungen
cubre	abdeckhaube
presenta	vorhanden
presenta	gegenwart
presenta	anwesend
presenta	geschenke
sorprende	überrascht
sorprende	überraschung
admira	bewundern
admira	bewundernswert
sensibles	empfindlich
sensibles	und
sensibles	empfindliche
sensibles	anfällig
scene	szene
scene	szenen
andalusia	Andalusien
andalusia	Andalusisch
andalusia	Andalusische
home	zuhause
home	heimat
home	home
humble	demütig
humble	luftfeuchtigkeit
humble	bescheiden
workman	arbeiter
workman	arbeitnehmer
remedaba	ich war..
remedaba	ich..
remedaba	ich wollte..
remedaba	ich habe..
sobresalía	es war hervorragend
sobresalía	es war bemerkenswert
sobresalía	es war ausgezeichnet
sobresalía	es war herausragend
valido	gültig
valido	gültig bis
versecillos	gemüse
versecillos	flocken
versecillos	gemüse und gemüse
versecillos	flakes
romances	romantik
romances	romanze
romances	römer
instado	installiert
instado	drängt
instado	gedrängt
instado	dringend
encierran	verriegelt
encierran	eingesperrt
encierran	lock up
encierran	sperren
vos	du
vos	sie
ayunar	Fasten
ayunar	Befestigung
ayunar	Schnelligkeit
ayunar	Verriegelung
bondadosa	art
bondadosa	gut
galanes	galen
galanes	galanen
galanes	galaxien
galanes	salan
piden	nachfrage
piden	frage stellen
piden	fragen
cubren	deckel
cubren	abdeckung
cubren	abdeckungen
cubren	abdeckhaube
damos	wir geben
damos	wir geben uns
quitaron	entfernt
quitaron	entfernt werden
quitaron	sie wurden entfernt
bartolo	Bartolo
rezó	er betete
rezó	sie betete
rezó	er hat gebetet
poor	arm
peasant	erbsen
peasant	bauern
peasant	erbse
peasant	erdbeeren
valdeflores	Mehl
valdeflores	Valdeflower
valdeflores	Valdeflows
valdeflores	Mehle
small	klein
small	klein und klein
village	dorf
village	ort
village	dorfplatz
village	dorfbewohner
mountains	berge
mountains	gebirge
mountains	berge und berge
mountains	bergwelt
southern	süd
southern	südlich
componían	sie waren
componían	sie/sie waren
componían	komponieren
componían	sie/sie haben
uniese	einheit
uniese	unikate
cubriese	deckel
cubriese	abdeckung
cubriese	deckung
cobijada	lackiert
cobijada	überlackiert
cobijada	belackt
cobijada	gewebe
formaba	formblatt
formaba	form
formaba	gebildet
formaba	war
vasta	groß
vasta	breite
divisiones	abteilungen
divisiones	abteilung
divisiones	geschäftsbereiche
hechas	hergestellt
hechas	aus baumwolle
hechas	erledigt
hechas	mademoiselle
servían	sie dienten
servían	sie haben gedient
pesebres	fieber
pesebres	fische
pesebres	fisch
pesebres	fischbestände
saltaderos	saltaderos
saltaderos	saltaderas
saltaderos	saltadero
saltaderos	saltader
distribuido	verteilt
distribuido	verteilung
entregaban	lieferung
entregaban	geliefert
entregaban	lieferbar
entregaban	liefert
niente	%
niente	kind
niente	nant
niente	kinder
estiraban	sie/sie haben ausgereckt
estiraban	sie streckten sich
estiraban	sie streckten sich aus
estiraban	sie/sie haben gereckt
solazaban	solazan
solazaban	sie waren solazando
tenían	sie/sie hatten
tenían	sie hatten
cobijaban	sie/sie haben bewacht
cobijaban	sie/sie haben gehütet
cobijaban	sie waren bewacht
cobijaban	sie haben bewacht
custodiaba	ich war bewacht
custodiaba	ich war wache
custodiaba	ich war eine wache
custodiaba	ich habe bewacht
erguida	ergid
erguida	ergide
erguida	ergidin
erguida	ergides
resguardando	schutz
resguardando	gewährleistung
resguardando	schutz vor
pulcritud	reinheit
pulcritud	reinheitsgrad
pulcritud	reinheit:
pulcritud	lungenkritualität
pacíficas	frieden
pacíficas	und völker
pacíficas	frieden und frieden
pacíficas	und menschen
acudían	sie kamen
acudían	sie sind gekommen
callaban	sie halten die klappe
callaban	die halten die klappe
callaban	sie hielten ruhig
callaban	sie blieben ruhig
traerle	bring ihn rein
traerle	bringen sie ihn rein
traerle	bringt ihn rein
tonada	ton
tonada	tonada
tonada	tonnen
tonada	zinn
cultas	kulte
cultas	kultiviert
cultas	kult
cultas	sekten
llenen	füllung
llenen	füllen
llenen	füllen sie
duermen	sie schlafen
duermen	die schlafen
bendice	segne dich
bendice	segen
madres	mütter
madres	muttern
velan	vegan
velan	velan
velan	venen
asiste	hilfe
considero	ich denke
considero	ich glaube
considero	ich halte
venden	Verkauf
venden	Sie verkaufen
venden	Verkaufen
inspira	inspirationen
inspira	inspiren
inspira	inspiriert
inspira	inspires
soñamos	wir träumen
diabólica	diabol
diabólica	diabole
presta	kreditgeber
presta	darlehen
presta	kotflügel
conoce	weißt du
conoce	du weißt schon
conoce	weißt du..
encuentran	gefunden
encuentran	sie finden
encuentran	sie/sie finden
antúnez	Antunez
antúnez	Antúnez
toledanos	roggen
toledanos	rodeln
toledanos	toledane
toledanos	toledan
fijamente	fest
fijamente	fest eingebaut
fijamente	feste
fijamente	festgespannt
retorcía	er hat gequält
retorcía	er hat gestritten
retorcía	er wagte
retorcía	er hat geweint
gimiendo	moaning
gimiendo	hain
gimiendo	groan
gimiendo	moanieren
asienta	sitze
asienta	sitz
asienta	sets
asienta	sitzplätze
transponía	transpos
transponía	transponder
transponía	transponiert
flotaba	es war schwebend
flotaba	ich war schwebend
flotaba	ich schwebte
flotaba	es war schwimmend
interrumpía	unterbrechungen
interrumpía	unterbrechung
interrumpía	unterbrechen
interrumpía	unterbrochen
preguntes	fragen
preguntes	frage stellen
lloro	ich weine
sabré	ich weiß es
sabré	ich werde es wissen
sabré	ich weiß
contestarte	antwort
contestarte	antworte
contestarte	antworte dir
comprenderme	ich verstehe
comprenderme	verstehen sie mich
comprenderme	verstanden
revelase	zeigen
revelase	enthüllen
revelase	enthüllt
revelase	offenbaren
arrancaría	ich würde anfangen
arrancaría	ich würde beginnen
expiraron	sie sind abgelaufen
expiraron	abgelaufen
expiraron	sie haben abgelaufen
expiraron	sie sind ausgelaufen
rompiendo	aufbrechen
rompiendo	bruch
rompiendo	brechen
hará	wird
hará	das wird es
hará	es wird
hará	werden
reir	lachen
colocada	ort
colocada	platz
colocada	mit einem gehalt an
colocada	an ort und stelle
dilatándose	dilatation
dilatándose	dilat
dilatándose	dilating
dilatándose	dilatieren
entonaban	sie haben gesungen
entonaban	die haben gesungen
entonaban	sie würden singen
regina	Regina
absorta	absorbiert
absorta	aufgenommen
absorta	absorbiert werden
explicármelo	erklären
explicármelo	erkläre es
explicármelo	erklär's
aparté	ich bin weggezogen
aparté	ich bin weggegangen
aparté	ich war weg
aparté	ich ging weg
torné	ich bin zurückgekehrt
torné	ich drehte mich um
torné	ich bin umgedreht
torné	ich habe mich gedreht
volvían	sie kamen zurück
volvían	sie waren zurück
reproducían	reproduktionen
reproducían	reproduzieren
reproducían	reproduziert
prodigiosa	prodigiosa
prodigiosa	prodigios
prodigiosa	prodigiose
fija	fest
fija	fest eingebaut
fija	feste
fija	festgespannt
acosté	ich lege mich hin
acosté	ich setze mich hin
acosté	ich ging ins bett
cerraron	geschlossen
cerraron	sie haben geschlossen
creerás	du wirst glauben
creerás	du wirst es glauben
creerás	ihr werdet glauben
pedrería	backwaren
pedrería	gebäck
pedrería	torf
pedrería	pastete
humillo	fomillo
humillo	humillo
humillo	soja
mofándose	moaning
mofándose	bewegung
mofándose	mocking
mofándose	verspottung
mostrándome	zeigt mich
mostrándome	mir zu zeigen
mostrándome	mir zeigen
mostrándome	ich zeige es
brilla	glanz
brilla	glühen
brilla	glow
desperté	Ich bin aufgewacht
desperté	Ich wachte auf
desperté	Ich habe aufgewacht
incontrastable	inkontinuierlich
incontrastable	unkontrastierend
incontrastable	unkontrastiert
inspirada	inspiriert
inspirada	inspiriert von
doblas	doblas
doblas	dobles
oprimió	opprimiert
oprimió	unterdrückung
oprimió	unterdrücker
retrató	dargestellt
retrató	darstellung
retrató	porträtiert
retrató	darstellungen
posee	hat
posee	eigentümer
posee	besen
posee	besitzen
prosiguió	weiter
prosiguió	fortsetzung
prosiguió	fortgesetzt
prosiguió	weiter fort
costase	kosten
costase	kosten und kosten
fijó	fest
fijó	fest eingebaut
fijó	satz
fijó	menge
quebrándose	brechen
quebrándose	bruch
quebrándose	bricht
figuraos	Abbildung
figuraos	Abbildungen
figuraos	Zahlen
figuraos	Abb
gigantes	riesen
gigantes	giganten
forman	formblatt
forman	form
forman	formen
forman	formblätter
guarece	guaaret
guarece	guaret
guarece	guaareal
guarece	guarez
mezclan	mischung
mezclan	gemischt
mezclan	sie mischen
mezclan	mix
confunden	sie verwirren
confunden	sie verwechseln
naves	schiffe
naves	schifffahrt
tradiciones	traditionen
tradiciones	tradition
tradiciones	und traditionen
tendréis	das wirst du
tendréis	das werden sie
tendréis	sie haben
tendréis	- das wirst du
derramado	gewürfelt
derramado	geräuchert
derramado	verschüttet
artes	kunst
artes	künste
artes	art
defiende	verteidiger
defiende	verteidigung
defiende	verteidigt
pasiones	leidenschaften
pasiones	passionen
pasiones	leidenschaft
penetra	durchdringen
penetra	durchdringt
penetra	dringt ein
penetra	durchsetzt
despliega	bereitstellungen
despliega	bereitstellung
despliega	entfaltungen
arden	burn
arden	verbrennen
arden	brennen
arden	birnen
despidiendo	feuer
despidiendo	schießen
despidiendo	feuerlöscher
despidiendo	feuern
estremecen	zittern
estremecen	strems
estremecen	stremen
coronan	coronan
coronan	koronan
coronan	coronat
coronan	koronaren
sentirla	fühlen
sentirla	fühlen sie es
tremenda	schrecklich
tremenda	furchtbar
tremenda	enorm
tremenda	toll
anima	anima
anima	animieren
anima	animiert
dispersado	dispergiert
dispersado	dispersion
direcciones	adresse
direcciones	adressen
direcciones	anschrift
goznes	gennen
goznes	genne
goznes	nüsse
goznes	nelken
toledano	toledan
toledano	roggen
toledano	toledon
dominaba	domino
dominaba	ich habe dominiert
dominaba	pimino
deslizándose	rutschen
deslizándose	gleiten
deslizándose	verrutschen
deslizándose	schlupf
permitía	zulässig
permitía	erlaubt
amantes	liebhaber
amantes	liebe freunde
amantes	liebe
amantes	freunde
arrastrara	wird ziehen
arrastrara	würde ziehen
arrastrara	wird schleifen
arrastrara	wird schleppen
concebirla	konkret
concebirla	prägnant
concebirla	konz
concebirla	konkrete
saberse	wissen
saberse	zu wissen
inquieta	unruhig
inquieta	restlos
inquieta	unwiderstehlich
sumergida	untergetaucht
sumergida	untergespeichert
percibían	wahrgenommen
percibían	sie/sie wahrgenommen haben
percibían	sie wahrnehmen
palpa	palette
palpa	paletten
palpa	paprika
palpa	knollen
comprimen	kompressor
comprimen	druck
comprimen	kompressoren
comprimen	drucken
roce	roggen
roce	raub
vienen	sie kommen
vienen	komm schon
descansan	sie ruhen
descansan	sie ruhen aus
descansan	die ruhen
descansan	ruhe
erizaron	erizeron
erizaron	erizan
erizaron	sie/sie waren
erizaron	sie/sie haben
sujetaba	ich habe gehalten
sujetaba	bestand
sujetaba	betrieb
sujetaba	betriebe
moribundas	sterben
moribundas	färben
perdidas	verloren
perdidas	verloren gegangen
perdidas	verloren gehen
perdidas	verlust
oscilaron	sie schwammen
oscilaron	die schwammen
oscilaron	sie schwamben
osciló	es schwingt
osciló	es schwingte sich
osciló	es schwingte
machones	pilze
machones	machos
machones	maschinen
sillería	garne
sillería	schulter
sillería	garn
sillería	schultern
trepando	klettern
trepando	klettersteig
revestía	dressing
revestía	kleidung
revestía	kleid
revestía	anstrich
quiméricas	cymer
quiméricas	chimäre
quiméricas	chemikalie
quiméricas	chemische stoffe
horribles	schrecklich
horribles	furchtbar
horribles	hort
dudosa	zweifelnd
dudosa	zweifelhaft
iluminada	beleuchtet
iluminada	licht
iluminada	beleuchtung
iluminada	leuchtend
tranquilizara	es wird sich beruhigen
tranquilizara	es wird beruhigen
concluyó	geschlossen
concluyó	schlussfolgerung
concluyó	schluss
concluyó	abschluss
infundirle	um ihn zu verletzen
infundirle	infunder ihn
infundirle	infunder
infundirle	infundier ihn
dominarse	meister
dominarse	dominieren
dominarse	dominiert
dominarse	zu dominieren
piadosa	from
piadosa	fromm
piadosa	pious
equivalía	äquivalent
equivalía	äquivalente
equivalía	gleichwertigkeit
equivalía	äthiopien
crispados	croissants
crispados	croissane
crispados	bewirtschaftet
crispados	croisants
oprimían	sie/sie haben unterdrückt
oprimían	sie waren unterdrückend
oprimían	sie/sie unterdrücken
oprimían	werden unterdrückt haben
restaba	subtrahiert
restaba	zurückgezogen
restaba	zurückgenommen
endriagos	enriagos
endriagos	endriagos
endriagos	adriagos
semejantes	ähnlich
semejantes	ähnliche
semejantes	ähnliche waren
semejantes	andere
movían	bewegung
movían	beweg dich
escapó	er ist entkommen
escapó	er entkam
escapó	er floh
ropajes	farbstoffe
ropajes	steine
ropajes	flocken
ropajes	felsen
miraban	sie sahen aus
miraban	sie haben zugesehen
miraban	sie beobachteten
pajes	seiten
pajes	pajes
pajes	zahlungen
cenobitas	enobite
cenobitas	enobiten
cenobitas	cenobite
cenobitas	cenobit
confundían	sie waren verwirrt
confundían	sie waren verwirrend
confundían	sie wurden verwirrt
confundían	sie/sie haben verwirrt
oficiaban	und
oficiaban	sie/sie waren
oficiaban	sie/sie haben
oficiaban	beamte
mortuorios	tod
mortuorios	todesstrafe
mortuorios	todesfälle
mortuorios	sterbefälle
arrastrándose	raupen
arrastrándose	crawling
arrastrándose	rauten
arrastrándose	schleppen
pululaban	zugulaban
pululaban	sie zogen
pululaban	sie zogen aus
pululaban	pestizide
deformes	verformungen
deformes	deformieren
